Benchmark, Cache size, Block Size, Associativity, Cache Latency, Cache Energy, Data Hits, Data Misses, Writebacks, Instructions Hits, Instruction Misses
0,512,32,1,0.695145,0.013606,41683372,12271822,4534355,108509910,25707818
0,512,32,1,0.695145,0.013606,9790,1209,599,40033,4003
0,512,32,1,0.695145,0.013606,784130,256860,39077,7660673,36092
0,512,32,1,0.695145,0.013606,37296978,5699532,2290299,104891133,29326595
0,1024,32,1,0.759355,0.014273,47251725,6703469,2168257,118456599,15761129
0,1024,32,1,0.759355,0.014273,9974,1025,554,41693,2343
0,1024,32,1,0.759355,0.014273,887830,153160,13232,7696033,732
0,1024,32,1,0.759355,0.014273,40007259,2989251,882859,106658758,27558970
0,1024,32,2,1.070750,0.013796,48751710,5203484,1810023,118806221,15411507
0,1024,32,2,1.070750,0.013796,10180,819,500,42401,1635
0,1024,32,2,1.070750,0.013796,896840,144150,4867,7696043,722
0,1024,32,2,1.070750,0.013796,41308962,1687548,550401,106374842,27842886
0,1024,64,1,0.759355,0.014273,47038177,6917017,2079675,125314533,8903195
0,1024,64,1,0.759355,0.014273,10140,859,376,41642,2394
0,1024,64,1,0.759355,0.014273,814960,226030,24585,7696295,470
0,1024,64,1,0.759355,0.014273,39717384,3279126,819959,117025047,17192681
0,2048,32,1,0.872010,0.015605,48759172,5196022,1821053,121567302,12650426
0,2048,32,1,0.872010,0.015605,10144,855,477,42786,1250
0,2048,32,1,0.872010,0.015605,944725,96265,7292,7696075,690
0,2048,32,1,0.872010,0.015605,40919655,2076855,755833,109697624,24520104
0,2048,32,2,0.843272,0.026362,50215276,3739918,1326925,122722861,11494867
0,2048,32,2,0.843272,0.026362,10235,764,459,42915,1121
0,2048,32,2,0.843272,0.026362,990202,50788,1203,7696097,668
0,2048,32,2,0.843272,0.026362,42639699,356811,94428,111147841,23069887
0,2048,32,4,1.153950,0.035356,50427273,3527921,1244428,122784353,11433375
0,2048,32,4,1.153950,0.035356,10245,754,449,42917,1119
0,2048,32,4,1.153950,0.035356,995092,45898,961,7696125,640
0,2048,32,4,1.153950,0.035356,42637239,359271,23077,111978659,22239069
0,2048,64,1,0.872010,0.015605,48863330,5091864,1658477,127349356,6868372
0,2048,64,1,0.872010,0.015605,10391,608,281,43237,799
0,2048,64,1,0.872010,0.015605,896050,144940,12834,7696335,430
0,2048,64,1,0.872010,0.015605,40540975,2455535,759492,118952635,15265093
0,2048,64,2,0.843272,0.026362,51113327,2841867,1047508,128325872,5891856
0,2048,64,2,0.843272,0.026362,10547,452,251,43355,681
0,2048,64,2,0.843272,0.026362,918601,122389,1495,7696333,432
0,2048,64,2,0.843272,0.026362,42062539,933971,170945,119317160,14900568
0,2048,128,1,0.872010,0.015605,48152983,5802211,1943902,130316693,3901035
0,2048,128,1,0.872010,0.015605,10446,553,185,43478,558
0,2048,128,1,0.872010,0.015605,855545,185445,17019,7696481,284
0,2048,128,1,0.872010,0.015605,40570327,2426183,793744,123401463,10816265
0,4096,32,1,1.096140,0.018271,49878410,4076784,1528774,124986630,9231098
0,4096,32,1,1.096140,0.018271,10230,769,405,42942,1094
0,4096,32,1,1.096140,0.018271,964158,76832,5523,7696139,626
0,4096,32,1,1.096140,0.018271,41367069,1629441,552063,116249345,17968383
0,4096,32,2,1.160790,0.016576,51591331,2363863,963363,124288989,9928739
0,4096,32,2,1.160790,0.016576,10318,681,388,42991,1045
0,4096,32,2,1.160790,0.016576,1016387,24603,1027,7696154,611
0,4096,32,2,1.160790,0.016576,42958204,38306,13716,119194396,15023332
0,4096,32,4,1.159000,0.035391,51607039,2348155,924478,123402798,10814930
0,4096,32,4,1.159000,0.035391,10351,648,375,42988,1048
0,4096,32,4,1.159000,0.035391,1023620,17370,961,7696166,599
0,4096,32,4,1.159000,0.035391,42995187,1323,12,119422221,14795507
0,4096,32,8,1.241390,0.078948,51523095,2432099,944360,123313487,10904241
0,4096,32,8,1.241390,0.078948,10351,648,376,42972,1064
0,4096,32,8,1.241390,0.078948,1024015,16975,961,7696177,588
0,4096,32,8,1.241390,0.078948,42996065,445,15,120051654,14166074
0,4096,64,1,1.096140,0.018271,50241101,3714093,1300766,129369815,4847913
0,4096,64,1,1.096140,0.018271,10489,510,236,43358,678
0,4096,64,1,1.096140,0.018271,951943,89047,8033,7696375,390
0,4096,64,1,1.096140,0.018271,41124439,1872071,610754,122189979,12027749
0,4096,64,2,1.160790,0.016576,51868450,2086744,857079,129073779,5143949
0,4096,64,2,1.160790,0.016576,10600,399,215,43405,631
0,4096,64,2,1.160790,0.016576,999122,41868,743,7696385,380
0,4096,64,2,1.160790,0.016576,42915637,80873,22098,124468769,9748959
0,4096,64,4,1.159000,0.035391,52044948,1910246,794787,128656798,5560930
0,4096,64,4,1.159000,0.035391,10644,355,204,43402,634
0,4096,64,4,1.159000,0.035391,1003810,37180,485,7696403,362
0,4096,64,4,1.159000,0.035391,42952701,43809,4806,125184875,9032853
0,4096,128,1,1.096140,0.018271,49746086,4209108,1376490,131534297,2683431
0,4096,128,1,1.096140,0.018271,10569,430,152,43586,450
0,4096,128,1,1.096140,0.018271,918690,122300,9644,7696508,257
0,4096,128,1,1.096140,0.018271,41086780,1909730,684246,125589929,8627799
0,4096,128,2,1.160790,0.016576,52534117,1421077,569024,131494243,2723485
0,4096,128,2,1.160790,0.016576,10743,256,130,43632,404
0,4096,128,2,1.160790,0.016576,922961,118029,764,7696518,247
0,4096,128,2,1.160790,0.016576,42840214,156296,43541,126674990,7542738
0,4096,256,1,1.096140,0.018271,46870912,7084282,1785648,132643766,1573962
0,4096,256,1,1.096140,0.018271,10440,559,121,43700,336
0,4096,256,1,1.096140,0.018271,875761,165229,18406,7696566,199
0,4096,256,1,1.096140,0.018271,40943051,2053459,686177,127742021,6475707
0,8192,32,1,1.094230,0.018999,51701560,2253634,989164,130344185,3873543
0,8192,32,1,1.094230,0.018999,10343,656,249,43072,964
0,8192,32,1,1.094230,0.018999,984571,56419,4613,7696215,550
0,8192,32,1,1.094230,0.018999,41426889,1569621,544774,121678632,12539096
0,8192,32,2,1.179620,0.030689,52416161,1539033,722577,129732970,4484758
0,8192,32,2,1.179620,0.030689,10367,632,242,43127,909
0,8192,32,2,1.179620,0.030689,1026872,14118,990,7696249,516
0,8192,32,2,1.179620,0.030689,42996325,185,5,126991466,7226262
0,8192,32,4,1.242380,0.036130,53287454,667740,413989,129117706,5100022
0,8192,32,4,1.242380,0.036130,10371,628,240,43129,907
0,8192,32,4,1.242380,0.036130,1025125,15865,956,7696288,477
0,8192,32,4,1.242380,0.036130,42996325,185,1,128352253,5865475
0,8192,32,8,1.325350,0.079983,53391213,563981,378804,128854513,5363215
0,8192,32,8,1.325350,0.079983,10371,628,240,43140,896
0,8192,32,8,1.325350,0.079983,1024107,16883,958,7696281,484
0,8192,32,8,1.325350,0.079983,42996325,185,0,130241026,3976702
0,8192,32,16,1.346110,0.167300,53400688,554506,376868,128854553,5363175
0,8192,32,16,1.346110,0.167300,10372,627,240,43154,882
0,8192,32,16,1.346110,0.167300,1024132,16858,958,7696292,473
0,8192,32,16,1.346110,0.167300,42996325,185,0,132222562,1995166
0,8192,64,1,1.094230,0.018999,51943186,2012008,708077,132147429,2070299
0,8192,64,1,1.094230,0.018999,10641,358,143,43447,589
0,8192,64,1,1.094230,0.018999,974800,66190,6258,7696423,342
0,8192,64,1,1.094230,0.018999,41192243,1804267,601163,125507368,8710360
0,8192,64,2,1.179620,0.030689,52629708,1325486,629308,131829292,2388436
0,8192,64,2,1.179620,0.030689,10659,340,137,43492,544
0,8192,64,2,1.179620,0.030689,1031142,9848,565,7696450,315
0,8192,64,2,1.179620,0.030689,42996148,362,130,129359734,4857994
0,8192,64,4,1.242380,0.036130,53416268,538926,263764,131538921,2678807
0,8192,64,4,1.242380,0.036130,10665,334,133,43494,542
0,8192,64,4,1.242380,0.036130,1032697,8293,483,7696472,293
0,8192,64,4,1.242380,0.036130,42996397,113,1,130011946,4205782
0,8192,64,8,1.325350,0.079983,53578537,376657,212262,131505714,2712014
0,8192,64,8,1.325350,0.079983,10665,334,133,43492,544
0,8192,64,8,1.325350,0.079983,1032482,8508,484,7696465,300
0,8192,64,8,1.325350,0.079983,42996397,113,1,129615611,4602117
0,8192,128,1,1.094230,0.018999,51660539,2294655,854876,133052906,1164822
0,8192,128,1,1.094230,0.018999,10781,218,97,43650,386
0,8192,128,1,1.094230,0.018999,971634,69356,6414,7696542,223
0,8192,128,1,1.094230,0.018999,41170188,1826322,666043,127487690,6730038
0,8192,128,2,1.179620,0.030689,53108328,846866,401958,132922474,1295254
0,8192,128,2,1.179620,0.030689,10804,195,85,43687,349
0,8192,128,2,1.179620,0.030689,1003835,37155,377,7696564,201
0,8192,128,2,1.179620,0.030689,42963104,33406,14501,129191629,5026099
